2015-04-11T13:47:12.268+0200 I NETWORK  [conn82] end connection 127.0.0.1:6340 (3 connections now open)
2015-04-11T13:47:12.269+0200 I NETWORK  [conn84] end connection 127.0.0.1:6342 (2 connections now open)
2015-04-11T13:47:12.269+0200 I NETWORK  [conn85] end connection 127.0.0.1:6343 (1 connection now open)
2015-04-11T13:47:12.269+0200 I NETWORK  [conn83] end connection 127.0.0.1:6341 (0 connections now open)
2015-04-11T13:47:19.207+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:6402 #86 (1 connection now open)
2015-04-11T13:47:19.207+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:6403 #87 (2 connections now open)
2015-04-11T13:47:19.208+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:6404 #88 (3 connections now open)
2015-04-11T13:47:19.208+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:6405 #89 (4 connections now open)
2015-04-11T13:47:19.208+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:6406 #90 (5 connections now open)
2015-04-11T14:38:09.621+0200 I NETWORK  [conn87] end connection 127.0.0.1:6403 (4 connections now open)
2015-04-11T14:38:09.621+0200 I NETWORK  [conn89] end connection 127.0.0.1:6405 (4 connections now open)
2015-04-11T14:38:09.621+0200 I NETWORK  [conn86] end connection 127.0.0.1:6402 (4 connections now open)
2015-04-11T14:38:09.621+0200 I NETWORK  [conn90] end connection 127.0.0.1:6406 (4 connections now open)
2015-04-11T14:38:09.621+0200 I NETWORK  [conn88] end connection 127.0.0.1:6404 (4 connections now open)
2015-04-11T14:38:23.543+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:8826 #91 (1 connection now open)
2015-04-11T14:38:23.543+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:8827 #92 (2 connections now open)
2015-04-11T14:38:23.543+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:8828 #93 (3 connections now open)
2015-04-11T14:38:23.544+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:8829 #94 (4 connections now open)
2015-04-11T14:38:23.544+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:8830 #95 (5 connections now open)
2015-04-11T14:46:14.100+0200 I NETWORK  [conn95] end connection 127.0.0.1:8830 (4 connections now open)
2015-04-11T14:46:14.100+0200 I NETWORK  [conn91] end connection 127.0.0.1:8826 (4 connections now open)
2015-04-11T14:46:14.100+0200 I NETWORK  [conn92] end connection 127.0.0.1:8827 (4 connections now open)
2015-04-11T14:46:14.100+0200 I NETWORK  [conn94] end connection 127.0.0.1:8829 (3 connections now open)
2015-04-11T14:46:14.100+0200 I NETWORK  [conn93] end connection 127.0.0.1:8828 (3 connections now open)
2015-04-11T14:46:20.822+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9284 #96 (1 connection now open)
2015-04-11T14:46:20.822+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9285 #97 (2 connections now open)
2015-04-11T14:46:20.822+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9286 #98 (3 connections now open)
2015-04-11T14:46:20.823+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9287 #99 (4 connections now open)
2015-04-11T14:46:20.823+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9288 #100 (5 connections now open)
2015-04-11T14:51:57.984+0200 I NETWORK  [conn96] end connection 127.0.0.1:9284 (4 connections now open)
2015-04-11T14:51:57.984+0200 I NETWORK  [conn100] end connection 127.0.0.1:9288 (4 connections now open)
2015-04-11T14:51:57.984+0200 I NETWORK  [conn99] end connection 127.0.0.1:9287 (3 connections now open)
2015-04-11T14:51:57.984+0200 I NETWORK  [conn97] end connection 127.0.0.1:9285 (3 connections now open)
2015-04-11T14:51:57.985+0200 I NETWORK  [conn98] end connection 127.0.0.1:9286 (1 connection now open)
2015-04-11T14:52:04.692+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9577 #101 (1 connection now open)
2015-04-11T14:52:04.692+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9578 #102 (2 connections now open)
2015-04-11T14:52:04.692+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9579 #103 (3 connections now open)
2015-04-11T14:52:04.693+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9580 #104 (4 connections now open)
2015-04-11T14:52:04.693+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9581 #105 (5 connections now open)
2015-04-11T14:59:17.550+0200 I NETWORK  [conn105] end connection 127.0.0.1:9581 (4 connections now open)
2015-04-11T14:59:17.550+0200 I NETWORK  [conn103] end connection 127.0.0.1:9579 (4 connections now open)
2015-04-11T14:59:17.550+0200 I NETWORK  [conn102] end connection 127.0.0.1:9578 (2 connections now open)
2015-04-11T14:59:17.551+0200 I NETWORK  [conn101] end connection 127.0.0.1:9577 (1 connection now open)
2015-04-11T14:59:17.551+0200 I NETWORK  [conn104] end connection 127.0.0.1:9580 (0 connections now open)
2015-04-11T14:59:23.553+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9883 #106 (1 connection now open)
2015-04-11T14:59:23.553+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9884 #107 (2 connections now open)
2015-04-11T14:59:23.553+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9885 #108 (3 connections now open)
2015-04-11T14:59:23.554+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9886 #109 (4 connections now open)
2015-04-11T14:59:23.554+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9887 #110 (5 connections now open)
2015-04-11T15:00:34.109+0200 I NETWORK  [conn109] end connection 127.0.0.1:9886 (4 connections now open)
2015-04-11T15:00:34.109+0200 I NETWORK  [conn107] end connection 127.0.0.1:9884 (4 connections now open)
2015-04-11T15:00:34.109+0200 I NETWORK  [conn106] end connection 127.0.0.1:9883 (3 connections now open)
2015-04-11T15:00:34.109+0200 I NETWORK  [conn108] end connection 127.0.0.1:9885 (3 connections now open)
2015-04-11T15:00:34.109+0200 I NETWORK  [conn110] end connection 127.0.0.1:9887 (3 connections now open)
2015-04-11T15:00:40.937+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9936 #111 (1 connection now open)
2015-04-11T15:00:40.937+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9937 #112 (2 connections now open)
2015-04-11T15:00:40.937+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:9938 #113 (3 connections now open)
